               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11562,            0.055004,            0.050144,           0.0023534,             0.12432,           0.0016526,          0.00036053,             0.10773,            0.031628,            0.050293,              0.0946,              0.0006,              0.0006
                   1,             0.10447,            0.061206,            0.046921,            0.021616,            0.070743,            0.019911,            0.004665,            0.097676,            0.033691,            0.044495,            0.088294,           0.0012936,           0.0012936
                   2,            0.093193,            0.062612,            0.040893,             0.88267,            0.075676,            0.097937,            0.026167,            0.089222,            0.037811,            0.040886,             0.08198,           0.0019802,           0.0019802
                   3,            0.085947,            0.058324,            0.037997,             0.51818,             0.21176,            0.096479,            0.027612,            0.084907,            0.051027,            0.038498,             0.07566,           0.0026599,           0.0026599
                   4,            0.080124,            0.057721,            0.035289,             0.53476,             0.19379,             0.11045,            0.030996,            0.089214,            0.043316,            0.035316,            0.069333,           0.0033327,           0.0033327
                   5,            0.077262,             0.05461,            0.033426,             0.58218,             0.26318,             0.19385,            0.065655,            0.075231,            0.033885,            0.032265,            0.062999,           0.0039985,           0.0039985
                   6,            0.075571,            0.054929,            0.032101,             0.65269,             0.24661,             0.24313,            0.086622,             0.07289,            0.031299,            0.030533,            0.056657,           0.0046574,           0.0046574
                   7,            0.074333,            0.051626,            0.031089,             0.62596,             0.25335,             0.22696,            0.076415,            0.077806,            0.028379,             0.02861,            0.050309,           0.0053094,           0.0053094
                   8,            0.072465,            0.053565,            0.029512,             0.37963,             0.41005,             0.24839,            0.077306,            0.072801,            0.027289,            0.027122,            0.043954,           0.0059545,           0.0059545
                   9,            0.072312,            0.051654,            0.028156,             0.39261,             0.36813,             0.21129,            0.072918,             0.07636,            0.025855,            0.025387,            0.037593,           0.0065926,           0.0065926
                  10,            0.070857,            0.050186,            0.027437,             0.41112,             0.44424,             0.30306,             0.10414,            0.067384,            0.025607,            0.023636,            0.031224,           0.0072238,           0.0072238
                  11,            0.070176,            0.049449,            0.026952,             0.38888,             0.43625,             0.28735,             0.09899,            0.071203,            0.024717,            0.022358,            0.024848,           0.0078481,           0.0078481
                  12,            0.068977,            0.049726,            0.025666,              0.4591,             0.45292,             0.34889,             0.12765,            0.064854,             0.02562,             0.02145,            0.018465,           0.0084654,           0.0084654
