               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.032459,            0.032702,           0.0043211,             0.68925,             0.62659,             0.60058,             0.24729,            0.049645,            0.029991,            0.021252,              0.0946,              0.0006,              0.0006
                   1,            0.033062,            0.031497,           0.0047871,             0.69806,             0.62695,              0.6141,              0.2571,            0.048949,            0.029862,            0.020893,            0.088294,           0.0012936,           0.0012936
                   2,            0.033417,            0.031516,           0.0044895,              0.6907,             0.65221,             0.63741,             0.27072,            0.049132,            0.029269,             0.02113,             0.08198,           0.0019802,           0.0019802
                   3,            0.034427,            0.031355,           0.0045248,             0.67777,             0.64531,             0.61684,             0.27121,            0.048531,            0.029056,            0.020885,             0.07566,           0.0026599,           0.0026599
                   4,             0.03363,            0.031826,           0.0040882,              0.6709,             0.64945,             0.63423,             0.27156,            0.049465,            0.028553,            0.020084,            0.069333,           0.0033327,           0.0033327
                   5,            0.036329,            0.032313,            0.004777,             0.66655,             0.67254,             0.63909,             0.26671,            0.048847,            0.028798,            0.019848,            0.062999,           0.0039985,           0.0039985
                   6,            0.036153,            0.033185,           0.0048012,             0.67915,             0.65788,             0.62373,              0.2528,            0.051185,            0.028115,            0.019585,            0.056657,           0.0046574,           0.0046574
                   7,            0.037108,             0.03195,           0.0047273,             0.69422,             0.65652,             0.63547,             0.26514,            0.048861,            0.028308,             0.01816,            0.050309,           0.0053094,           0.0053094
                   8,            0.038087,            0.034386,           0.0048332,              0.7199,             0.64932,             0.64171,             0.26169,            0.049901,            0.027928,            0.019323,            0.043954,           0.0059545,           0.0059545
                   9,            0.037148,             0.03296,           0.0046929,             0.71299,             0.64861,             0.64249,             0.25734,            0.048524,            0.028418,            0.017784,            0.037593,           0.0065926,           0.0065926
                  10,            0.039438,            0.033148,           0.0051096,             0.60503,             0.64117,             0.58447,             0.22527,            0.053024,            0.027857,            0.018724,            0.031224,           0.0072238,           0.0072238
                  11,            0.040803,             0.03393,           0.0056165,             0.66437,             0.65599,             0.62963,             0.25592,            0.049254,            0.028089,            0.018181,            0.024848,           0.0078481,           0.0078481
                  12,                0.04,             0.03446,           0.0054282,             0.64793,             0.65193,             0.61799,             0.24532,            0.052587,            0.028366,             0.01675,            0.018465,           0.0084654,           0.0084654
